RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Predicted_Rank,Unique_Rank
,Talen Horton-Tucker,Uta,G,23.3,42,19.6,23.5,12.9,90,0.8,230,0.439,141,0.333,0.462,0.505,9.9,2.5,3.6,0.9,0.4,1.3,12.4,13.5,16.0,9.1,109.4,113.6,201.0,189
,Patty Mills,Mia,G,35.6,2,14.9,22.4,6.7,0,0.0,6,0.667,8,0.5,0.714,0.714,10.0,2.0,0.0,0.0,0.0,0.5,12.0,10.0,12.0,0.0,117.4,107.3,201.0,189
,Vince Williams Jr.,Mem,G,23.5,52,27.6,15.9,19.5,130,0.8,170,0.529,209,0.378,0.55,0.597,10.0,5.6,3.4,0.9,0.7,1.8,15.6,13.4,19.0,8.3,114.0,106.9,201.0,189
,Nick Richards,Cha,C,26.3,55,26.4,13.4,16.3,157,0.726,313,0.693,1,0.0,0.691,0.715,10.0,8.2,0.8,0.4,1.2,1.1,18.1,10.8,19.0,6.1,133.9,111.1,201.0,189
,Tari Eason,Hou,F,22.8,22,21.8,19.8,9.6,33,0.636,139,0.504,50,0.36,0.513,0.528,9.8,7.0,1.2,1.4,0.9,0.9,16.7,11.0,18.0,8.0,110.1,100.6,201.0,189
,Kentavious Caldwell-Pope,Den,G,31.1,59,31.8,13.1,11.2,101,0.921,231,0.498,230,0.396,0.546,0.59,10.1,2.4,2.4,1.3,0.5,1.0,12.5,12.5,14.9,4.9,118.1,113.4,201.0,189
,Patrick Williams,Chi,F,22.5,43,27.3,16.6,13.7,66,0.788,211,0.474,148,0.399,0.525,0.553,10.0,3.9,1.5,0.9,0.8,1.3,13.8,11.5,15.4,5.7,107.1,112.5,201.0,189
,Jaden McDaniels,Min,F,23.5,56,29.2,15.5,12.4,56,0.75,289,0.585,192,0.344,0.557,0.572,10.3,3.0,1.4,0.9,0.5,1.2,13.3,11.8,14.7,4.8,108.1,103.0,201.0,189
,Jalen Smith,Ind,F-C,24.0,46,17.8,19.2,11.2,80,0.688,192,0.714,109,0.44,0.694,0.703,10.3,5.6,1.1,0.2,0.6,0.8,15.8,11.4,17.0,9.0,132.8,109.6,201.0,189
,Josh Richardson,Mia,G,30.5,43,25.6,16.4,9.4,54,0.944,157,0.561,190,0.347,0.539,0.573,9.9,2.8,2.4,0.6,0.3,0.8,12.7,12.3,15.1,6.3,115.9,110.6,201.0,189
