Position,Predicted_Name,Actual_Name
288,Jaylen Nowell,Cory Joseph
289,Torrey Craig,Ben Simmons
290,Pat Connaughton,James Wiseman
291,Trendon Watford,Larry Nance Jr.
292,Quentin Grimes,Jeremiah Robinson-Earl
293,Malachi Flynn,Aaron Wiggins
294,Bryce McGowens,Isaiah Livers
295,Jordan Nwora,Theo Maledon
296,Jarred Vanderbilt,Jalen McDaniels
297,Luke Kornet,Dwight Powell
298,Bismack Biyombo,David Roddy
299,Monte Morris,Drew Eubanks
300,Jamal Cain,Jordan Goodwin
301,Patrick Beverley,Jock Landale
302,Dean Wade,Nassir Little
303,Bol Bol,Brandon Boston Jr.
304,Drew Eubanks,Luka Garza
305,Gabe Vincent,Danny Green
306,Kris Dunn,Cody Zeller
307,Nicolas Batum,Patrick Beverley
308,Dyson Daniels,Sam Hauser
309,Goga Bitadze,Isaac Okoro
310,Gary Payton II,Duncan Robinson
311,Larry Nance Jr.,Nickeil Alexander-Walker
312,Ochai Agbaji,Simone Fontecchio
313,Spencer Dinwiddie,Saben Lee
314,T.J. Warren,Jared Butler
315,Xavier Tillman,Patty Mills
316,Josh Okogie,Mike Muscala
317,Bruno Fernando,Nicolas Batum
318,Jevon Carter,Oshae Brissett
319,Neemias Queta,Evan Fournier
320,Delon Wright,Robert Covington
321,Jordan Goodwin,Andre Drummond
322,Stanley Umude,Jordan Nwora
323,Isaiah Livers,Nickeil Alexander-Walker
324,Kenyon Martin Jr.,Maxi Kleber
325,Chimezie Metu,Mike Muscala
326,Thaddeus Young,Jaylin Williams
327,Wenyen Gabriel,Patrick Beverley
328,Aleksej Pokusevski,Goga Bitadze
329,Monte Morris,Johnny Davis
330,Caleb Houstan,Dario Saric
331,Keita Bates-Diop,Charles Bassey
332,Joe Ingles,R.J. Hampton
333,Robert Covington,Jalen Johnson
334,Maxi Kleber,Ziaire Williams
335,Kevon Looney,Gary Payton II
336,Jacob Gilyard,James Bouknight
337,Lester Quinones,Alex Caruso
338,Max Christie,Kevin Knox II
339,Shake Milton,Davion Mitchell
340,Dominick Barlow,Payton Pritchard
341,Eugene Omoruyi,Derrick Rose
342,Blake Wesley,Yuta Watanabe
343,DeAndre Jordan,Wenyen Gabriel
344,Ryan Rollins,Nikola Jovic
345,Kenrich Williams,Otto Porter Jr.
346,Chris Duarte,Darius Bazley
347,Jae'Sean Tate,Jamal Cain
348,Delon Wright,Devonte' Graham
349,Theo Maledon,Bryce McGowens
350,Danuel House Jr.,Lamar Stevens
351,Troy Brown Jr.,Zeke Nnaji
352,MarJon Beauchamp,Lindy Waters III
353,Dru Smith,MarJon Beauchamp
354,Jared Butler,DeAndre Jordan
355,Seth Curry,John Konchar
356,Davion Mitchell,Isaiah Hartenstein
357,JaVale McGee,Jaxson Hayes
358,Jaxson Hayes,Jonathan Isaac
359,Nassir Little,Derrick Jones Jr.
360,Justin Holiday,Kenneth Lofton Jr.
361,Tre Mann,Cody Martin
362,Jaylin Williams,Sam Merrill
363,Mo Bamba,Blake Wesley
364,Brandon Boston Jr.,Ousmane Dieng
365,Jeff Dowtin Jr.,Chimezie Metu
366,Gordon Hayward,Eugene Omoruyi
367,Evan Fournier,Danuel House Jr.
368,Thomas Bryant,Johnny Juzang
369,John Konchar,Garrison Mathews
370,Jaden Springer,Garrison Mathews
371,Mike Muscala,Moses Moody
372,Mamadi Diakite,Christian Braun
373,Ousmane Dieng,Keon Johnson
374,Troy Brown Jr.,Chuma Okeke
375,Richaun Holmes,Day'Ron Sharpe
376,Mike Muscala,Dean Wade
377,Jeremiah Robinson-Earl,TyTy Washington Jr.
378,Keon Ellis,Dalano Banton
379,Garrison Mathews,Davis Bertans
380,James Bouknight,Moses Brown
381,Yuta Watanabe,Thomas Bryant
382,Oshae Brissett,Malachi Flynn
383,Justin Champagnie,Damian Jones
384,Dwight Powell,Kira Lewis Jr.
385,A.J. Lawson,Justin Holiday
386,Devonte' Graham,Markieff Morris
387,Omer Yurtseven,Haywood Highsmith
388,Trevelin Queen,Justin Holiday
389,Thaddeus Young,JaVale McGee
390,Jalen McDaniels,Thaddeus Young
391,Doug McDermott,Omer Yurtseven
392,Robert Covington,Bismack Biyombo
393,Luka Samanic,Justin Minaya
394,Zeke Nnaji,A.J. Lawson
395,Saben Lee,Paul Reed
396,Charles Bassey,Admiral Schofield
397,Orlando Robinson,Ish Wainright
398,Malachi Flynn,T.J. Warren
399,Ish Smith,Bruno Fernando
400,Micah Potter,Kevon Harris
401,Alex Len,Gary Payton II
402,Otto Porter Jr.,Darius Bazley
403,Boban Marjanovic,Kessler Edwards
404,Moussa Diabate,Daishen Nix
405,Greg Brown III,Terry Taylor
406,Yuta Watanabe,Olivier Sarr
407,Furkan Korkmaz,Dominick Barlow
408,Udoka Azubuike,Aaron Holiday
409,Jared Rhoden,Matt Ryan
410,Chuma Okeke,Jabari Walker
411,Kenneth Lofton Jr.,Jamaree Bouyea
412,Svi Mykhailiuk,Dyson Daniels
413,Kira Lewis Jr.,Caleb Houstan
414,Patty Mills,Furkan Korkmaz
415,Markieff Morris,Luke Kornet
416,Davis Bertans,JT Thor
417,JT Thor,Mo Bamba
418,Ish Wainright,Jordan McLaughlin
419,Jock Landale,Orlando Robinson
420,Lamar Stevens,Markieff Morris
421,Jordan McLaughlin,Udoka Azubuike
422,Lindy Waters III,Taj Gibson
423,Luka Garza,Miles McBride
424,Nicolas Batum,P.J. Tucker
425,Cole Swider,Amir Coffey
426,Damian Jones,Bruno Fernando
427,Malachi Flynn,Wesley Matthews
428,AJ Griffin,Micah Potter
429,Keita Bates-Diop,Matt Ryan
430,Dereon Seabron,Jericho Sims
431,Johnny Davis,Juan Toscano-Anderson
432,Dalano Banton,Goga Bitadze
433,Jericho Sims,Anthony Gill
434,Johnny Juzang,Boban Marjanovic
435,Cory Joseph,Dru Smith
436,Joe Harris,Peyton Watson
437,Sandro Mamukelashvili,Jared Rhoden
438,Olivier Sarr,Max Christie
439,Moses Brown,Richaun Holmes
440,Wesley Matthews,Josh Minott
441,Dalen Terry,Usman Garuba
442,Daishen Nix,Danny Green
443,Skylar Mays,Jake LaRavia
444,Jamaree Bouyea,Saben Lee
445,Terry Taylor,Robin Lopez
446,Mike Muscala,Trevelin Queen
447,P.J. Tucker,Jacob Gilyard
448,Cody Zeller,Frank Ntilikina
449,Anthony Gill,Jason Preston
450,Lindell Wigginton,James Johnson
451,Ty Jerome,Moussa Diabate
452,Trent Forrest,Terry Taylor
453,Daniel Theis,Matisse Thybulle
454,Kevon Harris,Juan Toscano-Anderson
455,Isaiah Mobley,Ryan Arcidiacono
456,Xavier Moon,Mamadi Diakite
457,R.J. Hampton,Isaiah Mobley
458,Kendall Brown,Jaden Springer
459,Aleksej Pokusevski,Damian Jones
460,Robin Lopez,Ish Smith
461,Theo Maledon,Lester Quinones
462,P.J. Tucker,Justin Champagnie
463,Kessler Edwards,Jeff Dowtin Jr.
464,Jay Huff,Sandro Mamukelashvili
465,Dylan Windler,Neemias Queta
466,David Roddy,Garrett Temple
467,Garrett Temple,Trent Forrest
468,Josh Minott,Scotty Pippen Jr.
469,Vit Krejci,Ron Harper Jr.
470,Jaden Springer,Dru Smith
471,Danny Green,Dalen Terry
472,Ryan Arcidiacono,Justin Champagnie
473,Usman Garuba,A.J. Lawson
474,Ron Harper Jr.,Stanley Umude
475,Kira Lewis Jr.,Vince Williams Jr.
476,Jason Preston,Ryan Rollins
477,Alondes Williams,Greg Brown III
478,Darius Bazley,Xavier Moon
479,Justin Jackson,Alex Len
480,TyTy Washington Jr.,Dylan Windler
481,James Johnson,JD Davison
482,Taj Gibson,Svi Mykhailiuk
483,Dylan Windler,Kendall Brown
484,Braxton Key,Keon Ellis
485,Joshua Primo,Thanasis Antetokounmpo
486,JD Davison,Wendell Moore Jr.
487,Justin Minaya,Braxton Key
488,Kenneth Lofton Jr.,Cole Swider
489,Hamidou Diallo,Vit Krejci
490,Frank Ntilikina,Kessler Edwards
491,Shake Milton,Justin Jackson
492,Thanasis Antetokounmpo,Dereon Seabron
493,Admiral Schofield,Ryan Arcidiacono
494,Bismack Biyombo,Julian Champagnie
495,Shaquille Harrison,Alondes Williams
496,Kira Lewis Jr.,Jamaree Bouyea
497,Juan Toscano-Anderson,Moses Brown
